date,project,source,run_type,session_reference_id,session_id,uncached_tokens,total_tokens,input_tokens,output_tokens,tool_calls,retry_loops,efficiency,reliability,composite,estimated_cost_usd,verdict,report_path
2026-02-22,bass.ai,codex,real,,019c864b-0a2e-7dd2-be82-c2967b70bf10,3596116,3596116,281389,48423,110,8,10.0,84.0,36.5,0,,session-reviews/bass.ai/2026-02-22-codex-session-review-124607-019c864b-0a2e-7dd2-be82-c2967b70bf10.json
2026-02-22,bass.ai,codex,real,,019c8671-1b0a-7ac3-8fdd-ce00133331ef,8711,8711,2146,37,0,0,62.58,84.0,83.7,0,,session-reviews/bass.ai/2026-02-22-codex-session-review-124833-019c8671-1b0a-7ac3-8fdd-ce00133331ef.json
2026-02-22,bass.ai,codex,real,,019c864b-0a2e-7dd2-be82-c2967b70bf10,5681713,5681713,310912,60337,139,12,10.0,84.0,22.1,0,,session-reviews/bass.ai/2026-02-22-codex-session-review-125132-auto-20260222-125132-2288.json
2026-02-22,bass.ai,codex,real,019c8671-1b0a-7ac3-8fdd-ce00133331ef,019c8671-1b0a-7ac3-8fdd-ce00133331ef,8711,8711,2146,37,0,0,62.58,84.0,83.7,0,,session-reviews/bass.ai/2026-02-22-codex-session-review-125243-019c8671-1b0a-7ac3-8fdd-ce00133331ef.json
2026-02-22,bass.ai,codex,real,019c8671-1b0a-7ac3-8fdd-ce00133331ef,019c8671-1b0a-7ac3-8fdd-ce00133331ef,8711,8711,2146,37,0,0,62.58,84.0,83.7,0,,session-reviews/bass.ai/2026-02-22-codex-session-review-125309-019c8671-1b0a-7ac3-8fdd-ce00133331ef.json
2026-02-22,bass.ai,codex,real,auto-20260222-125410-10389,019c864b-0a2e-7dd2-be82-c2967b70bf10,6694317,6694317,325870,67647,157,12,9.29,84.0,21.05,0,,/Users/jackbishop/dev/bass-agents/session-reviews/bass.ai/2026-02-22-codex-session-review-125410-auto-20260222-125410-10389.json
2026-02-28,bass.ai,claude,real,auto-20260228-144501-10870,300b2016-96d1-45e2-a8f8-8696fd543265,19917,169263,12,791,8,0,40.0,96.0,78.2,0.21397,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass.ai/2026-02-28-claude-session-review-144501-auto-20260228-144501-10870.md
